,,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All ABO,Primary,Active,25697,24934,23195,28013,26667,24849,24592,23372,22240,22186,21290,20677,21414,21295,20911,21380,21250,21273,21233,20753,19844,18959,18991,17301,16582,15726,14750,13923
,,Urgent,0,3,24,32,26,16,36,36,15,13,17,16,21,16,27,29,35,36,25,47,45,26,29,32,32,33,25,36
,,Critical,0,3,4,5,3,1,6,5,13,7,4,10,3,12,16,12,9,15,12,23,16,5,11,5,2,7,5,5
,,Inactive,12782,11432,9370,9061,8244,6992,7051,7816,9970,10238,9659,9098,9005,8386,7710,6926,5933,3992,2376,504,473,430,504,426,380,307,529,801
,Repeat,Active,2695,2739,2666,3150,3093,3087,3079,3042,2976,2973,2875,2863,2992,3062,3119,3238,3304,3352,3380,3246,3271,3092,2866,2655,2466,2334,2386,2360
,,Urgent,0,1,2,3,6,2,3,4,3,7,6,3,6,5,13,10,16,16,8,12,15,11,11,8,15,5,11,17
,,Critical,0,0,0,1,2,0,0,1,5,2,1,0,4,2,3,3,4,7,3,4,3,0,2,3,0,0,2,3
,,Inactive,1608,1517,1318,1285,1148,976,1023,1124,1428,1490,1461,1318,1368,1346,1256,1192,1043,737,416,123,111,84,103,102,72,60,102,146
