,,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All ABO,Primary,Active,21208,20404,19174,19284,17316,16033,15259,14172,13657,13386,12946,13183,13016,12883,12730,12561,12675,12007,11454,10618,10327,9790,9363,8961,8668,8240,7962,7628,7346,6942,6244,5968,5628,4913,4809
,,Urgent,0,0,5,10,7,4,11,9,11,12,5,20,19,16,24,28,28,28,20,25,14,30,26,48,40,42,38,47,33,44,53,69,52,61,89
,,Critical,0,0,3,2,2,2,5,2,4,6,5,6,7,18,11,12,12,20,23,29,33,15,12,21,14,11,10,17,8,19,12,20,17,27,49
,,Inactive,1865,1678,1384,1606,1561,1454,1333,1253,1115,1046,981,1029,1025,892,844,785,680,546,344,235,227,174,165,137,145,128,141,200,213,234,296,342,566,508,368
,Repeat,Active,2136,2310,2025,2207,2025,2119,2178,2179,1788,1737,1797,1715,1718,1743,1542,1557,1703,1615,1598,1463,1446,1411,1400,1224,1260,1183,1163,1148,1109,1087,1234,1329,1267,1190,1437
,,Urgent,0,0,1,4,1,4,1,5,9,9,3,5,9,5,6,7,9,9,7,10,8,10,15,8,12,13,17,18,15,16,16,18,30,29,33
,,Critical,0,0,0,1,3,1,1,0,0,1,4,1,1,1,0,4,3,5,5,5,4,4,6,4,5,2,4,5,4,9,6,7,13,25,21
,,Inactive,184,158,141,187,156,132,168,136,175,132,123,122,131,93,74,87,77,62,46,40,22,16,19,19,12,14,14,30,33,23,57,86,128,118,88
