Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,WL Avg inter-arrival times,WL Avg wait,WL Avg delay,WL Avg service time,WL Avg # in the node,WL Avg # in the queue,WL utilization
0,critical,4365.000000,1.000000,3.000000,0.000000,0.836199,0.112328,0.013918,0.098410,0.134332,0.016644,0.117687
0,normal,123840.000000,9646.000000,31595.000000,49431.000000,0.029474,723.168535,723.139062,0.029473,24536.160160,24535.160183,0.999977
0,low,37077.000000,9459.000000,27616.000000,2.000000,0.098444,0.334720,0.273834,0.060886,3.400104,2.781623,0.618481
A,critical,3294.000000,2.000000,4.000000,0.000000,1.108078,0.136353,0.014847,0.121506,0.123053,0.013399,0.109655
A,normal,82645.000000,5015.000000,23180.000000,28397.000000,0.044165,626.009490,625.965331,0.044159,14174.365707,14173.365833,0.999875
A,low,25498.000000,6133.000000,19362.000000,3.000000,0.143149,0.693808,0.599306,0.094502,4.846759,4.186591,0.660168
B,critical,1098.000000,0.000000,0.000000,1.000000,3.324234,0.450959,0.050248,0.400711,0.135658,0.015116,0.120542
B,normal,37310.000000,2917.000000,9364.000000,16556.000000,0.097829,807.935760,807.837935,0.097825,8258.633861,8257.633906,0.999955
B,low,11449.000000,2889.000000,8559.000000,1.000000,0.318806,1.163726,0.964183,0.199544,3.650266,3.024356,0.625910
AB,critical,352.000000,0.000000,0.000000,0.000000,10.369342,1.373240,0.136812,1.236428,0.132433,0.013194,0.119239
AB,normal,9708.000000,475.000000,2391.000000,4434.000000,0.375979,821.839907,821.463979,0.375928,2185.863944,2184.864080,0.999863
AB,low,2981.000000,650.000000,2283.000000,48.000000,1.224424,27.370732,26.466426,0.904306,22.353963,21.615406,0.738557

Blood type,Organs arrived,Organs outdated,Organs in queue,OB Avg inter-arrival times,OB Avg wait,OB Avg delay,OB Avg service time,OB Avg # in the node,OB Avg # in the queue
0,37530.000000,1.000000,0.000000,0.097256,0.000012,0.000000,0.000012,0.000128,0.000000
A,29343.000000,2.000000,0.000000,0.124391,0.000056,0.000024,0.000032,0.000448,0.000192
B,9570.000000,0.000000,0.000000,0.381401,0.000000,0.000000,0.000000,0.000000,0.000000
AB,2761.000000,1.000000,0.000000,1.321988,0.000181,0.000000,0.000181,0.000137,0.000000

ACT Avg # in the node,ACT utilization
22431.680610

Successful transplants,Rejected transplants,TX Avg # in the node,TX utilization
70091.000000,8739.000000,389.943062
