Blood type,Priority,(Avg) Patients arrived,CI arrivals,(Avg) Patients dead,CI deaths,(Avg) Patients reneged,CI reneges,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,210.146154,+/-3.411415,0.030769,+/-0.030083,0.030769,+/-0.037038,0.000000,34.004177,+/-0.550254,0.000012,+/-0.000084,0.000000,+/-0.000000,0.000012,+/-0.000084,0.000176,+/-0.001153,0.000001,+/-0.000000,0.000202,+/-0.005695
0,normal,144693.584615,+/-108.946563,17936.807692,+/-26.436882,27537.184615,+/-34.124098,0.000000,0.048964,+/-0.000071,1481.233735,+/-2.947724,1481.163568,+/-2.947687,0.070167,+/-0.000069,20725.186865,+/-46.246175,20724.205098,+/-46.245293,0.015138,+/-0.007706
A,critical,97.238462,+/-2.059433,0.000000,+/-0.000000,0.015385,+/-0.021440,0.000000,73.936409,+/-1.564777,0.000040,+/-0.000001,0.000000,+/-0.000000,0.000040,+/-0.000001,0.000349,+/-0.000010,0.000000,+/-0.000000,0.000285,+/-0.000000
A,normal,86786.053846,+/-54.929716,8941.853846,+/-16.884986,15584.392308,+/-24.311225,0.000000,0.081634,+/-0.000109,1412.983134,+/-3.295242,1412.871753,+/-3.295157,0.111381,+/-0.000123,12398.530665,+/-26.910912,12397.553310,+/-26.910155,0.015104,+/-0.006960
B,critical,61.076923,+/-1.994109,0.007692,+/-0.015219,0.000000,+/-0.000000,0.000000,119.836067,+/-3.716669,0.000055,+/-0.000002,0.000000,+/-0.000000,0.000055,+/-0.000002,0.000223,+/-0.000010,0.000000,+/-0.000000,0.000228,+/-0.000000
B,normal,42611.230769,+/-51.982911,5452.261538,+/-13.623024,8223.353846,+/-15.248226,0.000000,0.166268,+/-0.000247,1468.929574,+/-3.339121,1468.689399,+/-3.338955,0.240175,+/-0.000456,5993.661074,+/-15.310544,5992.681143,+/-15.310036,0.015124,+/-0.007340
AB,critical,16.176923,+/-0.764668,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,476.643195,+/-28.133468,0.000053,+/-0.000004,0.000000,+/-0.000000,0.000053,+/-0.000004,0.000057,+/-0.000004,0.000000,+/-0.000000,0.000115,+/-0.000000
AB,normal,9711.692308,+/-18.912602,765.692308,+/-4.718389,1360.476923,+/-8.900422,0.000000,0.729584,+/-0.001678,1027.552244,+/-14.371179,1026.694785,+/-14.366773,0.857459,+/-0.005705,1098.867508,+/-14.972475,1097.950569,+/-14.968414,0.014630,+/-0.113742
