Blood type,Priority,(Avg) Patients arrived,CI arrivals,(Avg) Patients dead,CI deaths,(Avg) Patients reneged,CI reneges,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,21.333333,+/-1.445334,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,17.154793,+/-0.156215,0.000074,+/-0.000001,0.000000,+/-0.000000,0.000074,+/-0.000001,0.001463,+/-0.000015,0.000001,+/-0.000000,0.001223,+/-0.000000
0,normal,13741.920635,+/-25.360164,939.634921,+/-8.399747,1447.158730,+/-10.557350,267080.000000,0.026574,+/-0.000008,3386.664035,+/-486.835014,3386.613322,+/-486.835022,0.050713,+/-0.000033,66802.378689,+/-9609.592641,66801.378750,+/-9609.592625,0.031984,+/-0.000001
A,critical,9.460317,+/-0.899927,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,38.001513,+/-0.685964,0.000058,+/-0.000001,0.000001,+/-0.000000,0.000058,+/-0.000001,0.000731,+/-0.000017,0.000006,+/-0.000001,0.000861,+/-0.000000
A,normal,8420.619048,+/-20.558014,473.714286,+/-5.280153,817.809524,+/-8.626453,164213.000000,0.043398,+/-0.000032,3278.725563,+/-472.648085,3278.645704,+/-472.648100,0.079859,+/-0.000045,41072.989126,+/-5924.119097,41071.989163,+/-5924.119088,0.031984,+/-0.000000
B,critical,5.904762,+/-0.786995,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,62.975079,+/-2.592059,0.000078,+/-0.000001,0.000000,+/-0.000000,0.000078,+/-0.000001,0.000462,+/-0.000008,0.000000,+/-0.000000,0.000687,+/-0.000000
B,normal,4078.698413,+/-19.389964,280.968254,+/-3.737946,429.984127,+/-4.878143,79103.000000,0.089410,+/-0.000072,3358.482666,+/-485.651360,3358.312834,+/-485.651168,0.169833,+/-0.000344,19723.780907,+/-2841.985091,19722.781089,+/-2841.985043,0.031982,+/-0.000008
AB,critical,1.682540,+/-0.369765,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,200.987811,+/-7.349107,0.000074,+/-0.000004,0.000000,+/-0.000000,0.000074,+/-0.000004,0.000114,+/-0.000007,0.000000,+/-0.000000,0.000342,+/-0.000000
AB,normal,950.158730,+/-9.881027,43.206349,+/-1.700399,75.238095,+/-1.961108,18431.000000,0.383144,+/-0.000662,2892.136089,+/-448.087672,2891.486406,+/-448.084060,0.649683,+/-0.005627,4394.216966,+/-670.551003,4393.217460,+/-670.550878,0.031977,+/-0.000055
