,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All ABO,,"1,111,208","57,643","60,540","55,120","61,223","58,702","54,884","54,295","53,048","54,238","54,028","51,694","50,586","51,812","50,284","48,882","48,302","46,997","44,535","43,046","39,924","38,586","39,319","39,282","38,106","35,368","32,773","31,399","30,471"
O,,"526,638","27,850","29,266","26,417","29,461","28,209","26,086","26,131","25,328","25,853","25,727","24,707","24,076","24,703","23,998","23,393","23,107","22,379","21,225","20,584","19,040","18,365","18,632","18,618","18,064","16,756","15,432","14,832","14,353"
A,,"388,886","19,431","20,314","18,857","20,818","19,824","18,972","18,537","18,115","18,515","18,554","17,810","17,666","17,967","17,314","16,808","16,695","16,432","15,514","15,023","13,908","13,523","13,825","13,937","13,560","12,463","11,796","11,333","10,870"
B,,"152,021","8,132","8,639","7,696","8,586","8,410","7,681","7,580","7,554","7,775","7,672","7,161","6,905","7,132","7,024","6,853","6,621","6,290","6,014","5,843","5,462","5,233","5,321","5,251","5,032","4,762","4,297","4,028","4,081"
AB,,"43,954","2,232","2,323","2,152","2,361","2,260","2,146","2,048","2,052","2,096","2,078","2,019","1,940","2,010","1,952","1,831","1,883","1,907","1,787","1,602","1,521","1,482","1,550","1,477","1,459","1,393","1,252","1,212","1,173"
Unknown,,5,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
