,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All ABO,,"170,544","4,692","6,266","6,174","5,266","5,647","5,873","6,208","6,693","6,732","6,489","6,586","6,787","6,623","6,723","6,758","6,731","6,890","6,830","6,903","6,726","6,788","6,710","6,126","6,514","5,173","4,487","4,000","3,498"
O,,"88,145","2,482","3,313","3,278","2,776","2,979","3,026","3,166","3,399","3,376","3,325","3,353","3,426","3,369","3,523","3,509","3,423","3,564","3,593","3,554","3,466","3,559","3,476","3,202","3,291","2,726","2,341","2,026","1,811"
A,,"53,398","1,416","1,875","1,879","1,565","1,692","1,849","1,941","2,143","2,150","2,071","2,137","2,186","2,109","2,050","2,130","2,150","2,162","2,090","2,183","2,117","2,046","2,099","1,935","2,100","1,613","1,398","1,312","1,095"
B,,"24,304",694,934,858,785,829,868,923,969,"1,006",915,926,987,928,938,928,988,968,985,951,950,"1,000",948,815,931,693,618,545,483
AB,,"4,701",100,144,159,140,147,130,178,182,200,178,170,188,217,212,191,170,196,162,215,193,183,187,175,194,141,130,117,109
